" Filing
  Date","Issue
Date",Issuer,"Main
SIC
Code",Nation,"Ticker
Symbol",Bookrunner(s),"  Gross
 Spread
   ($)","Gross Spread
as % of 
Prncpl Amt -
in this Mkt","Proceeds
Amt - in 
this Mkt
($ mil)","   Offer
   Price","Type
of
Security","IPO
Flag
(Y/N)","9-Digit
CUSIP","Primary
Exchange
Where
Issuer's
Stock
Trades",All Managers,"Management
Fee as % 
of Prncpl
Amt - in 
this Mkt","Underwriting
Fee as % of 
Prncpl Amt -
in this Mkt","Selling 
Concession 
as % of 
Prncpl Amt -
in this Mkt",Marketplace,"Original
  High
 Filing
 Price","Original
  Low
 Filing
 Price","Shares 
Filed - 
in this Mkt","Amt Filed - 
in this Mkt 
($ mil)"," Primary 
 Shares 
 Offered 
 - in 
 this Mkt","Secondary 
Shs Ofrd - 
in this Mkt","Lock Up
Expiration
Date","Percent of
Shares
Outstanding
Subject to
Lockup
Agreement",Lockup Days,Lockup Shares,"Depos-
itary",Units,"Venture
Backed","Spin-
Off
Parent
Ticker",Spinoff's Parent,"Number
of
Bookrunners",RANK_NO_LEADS,"Number of Lead,
Co-Lead
&
Co-Managers","Stock
Price
at Close
of Offer/
1st Trade","Opening
Stock Price
at First Trade",All Managers.1,Lead Manager,Managers,Managers.1
1998-03-12,1998-03-12,DSET Corp,7371,United States,,BT-ALEX-BROWN,1.12,7,6.4,16.0,Ord/Common Shs.,Yes,262504,,"BT Alex Brown Inc
Robertson Stephens & Co
Soundview Financial Group Inc
BT Alex Brown Inc",Comb.,Comb.,,Euro Public,,,,,216041.0,183959.0,,,,,No,No,Yes,,,1.0,1,1.0,,,"BT-ALEX-BROWN//ROBERTSON-S
/SOUNDVIEW-FIN//BT-ALEX-BROWN(GC)",BT-ALEX-BROWN,BT-ALEX-BROWN,BT Alex Brown Inc
1997-12-03,1998-03-09,Pentacon Inc,8741,United States,JIT,BT-ALEX-BROWN,0.7,7,5.1,10.0,Ord/Common Shs.,Yes,709620,New York,"BT Alex Brown Inc
BT Alex Brown Inc",Comb.,Comb.,,Euro Public,,,,60.8,510000.0,,,,,,No,No,No,,,1.0,1,1.0,,,BT-ALEX-BROWN//BT-ALEX-BROWN(GC),BT-ALEX-BROWN,BT-ALEX-BROWN,BT Alex Brown Inc
1999-10-29,2000-02-03,Alamosa PCS Holdings Inc,4813,United States,APCS,LEH/SALOMON-SMITH(JB),1.148,6.75,182.1,17.0,Ord/Common Shs.,Yes,11593100,Nasdaq,"Lehman Brothers
Salomon Smith Barney
Credit Suisse First Boston Ltd
Deutsche Banc Alex Brown",1.35,1.35,4.0,Euro Public,,,,185.0,10714000.0,,,,,,No,No,No,,,2.0,2,4.0,,,"LEH(JB)/SALOMON-SMITH(JB)//C-S-F-B
/DEUTSCHE-ALEX-B",LEH/SALOMON-SMITH,"LEH
(JB)/SALOMON-SMITH(JB)
C-S-F-B
DEUTSCHE-ALEX-B","Lehman Brothers
Salomon Smith Barney
Credit Suisse First Boston Ltd
Deutsche Banc Alex Brown"
1995-07-14,1995-07-31,Pet Practice Inc,0742,United States,VETS,SBI,1.05,7,17.3,15.0,Ord/Common Shs.,Yes,71584200,Nasdaq,"Smith Barney Inc
Cazenove & Co
Paribas Capital Markets
Smith Barney Inc",1.4,1.6,4.0,Euro Public,,,,,1155000.0,,,,,,No,No,Yes,,,1.0,1,3.0,,,SBI//CAZENOVE/PARIBAS-CM//SBI(GC),SBI,"SBI
CAZENOVE
PARIBAS-CM","Smith Barney Incorporated
Cazenove & Co
Paribas Capital Markets"
1994-01-21,1994-03-09,Borror Corp,1521,United States,BORR,MCDONALD,0.81,7.043,23.0,11.5,Common Shares,Yes,100048107,Nasdaq,"McDonald Investments
Ohio Co",1.391,1.478,4.17391,U.S. Public,13.5,11.5,2000000.0,25.0,2000000.0,,1994-09-05 00:00:00,,180,,No,No,No,,,1.0,1,2.0,12.13,,MCDONALD//OHIO,MCDONALD,"MCDONALD
OHIO","McDonald Investments Inc
Ohio Co"
1995-08-24,1995-11-20,Boston Beer Co Inc,2082,United States,SAM,GS,1.4,7,59.9,20.0,Class A Shares,Yes,100557107,New York,"Goldman Sachs & Co
Alex Brown & Sons Inc
Hambrecht & Quist
Advest Inc",1.4,1.85,3.75,U.S. Public,15.0,10.0,4322801.0,54.0,1550379.0,1443836.0,1996-05-18 00:00:00,,180,,No,No,Yes,,,1.0,1,4.0,28.0,,GS//ALEX-BROWN/HAMBRECHT/ADVEST,GS,"GS
ALEX-BROWN
HAMBRECHT
ADVEST","Goldman Sachs & Co
Alex Brown & Sons Inc
Hambrecht & Quist Inc
Advest Inc"
1996-08-23,1996-10-31,Boston Biomedica Inc,2835,United States,BBII,OSCAR-GRUSS,0.595,7,13.6,8.5,Common Shares,Yes,100560101,Nasdaq,"Oscar Gruss & Son Inc
Kaufman Brothers LP",1.353,1.412,4.23529,U.S. Public,10.0,8.0,1600000.0,14.4,1600000.0,,1997-04-29 00:00:00,,180,2555244,No,No,No,,,1.0,1,2.0,7.75,,OSCAR-GRUSS//KAUFMAN-BROS,OSCAR-GRUSS,"OSCAR-GRUSS
KAUFMAN-BROS","Oscar Gruss & Son Inc
Kaufman Brothers LP"
1993-09-22,1993-11-08,Boston Chicken Inc,5812,United States,BOST,MERRILL,1.4,7,38.0,20.0,Common Shares,Yes,100578103,Nasdaq,"Merrill Lynch
Alex Brown & Sons Inc",1.4,1.4,4.2,U.S. Public,17.0,15.0,1600000.0,25.6,1900000.0,,1994-05-07 00:00:00,,180,1374400,No,No,No,,,1.0,1,2.0,48.5,,MERRILL//ALEX-BROWN,MERRILL,"MERRILL
ALEX-BROWN","Merrill Lynch & Co Inc
Alex Brown & Sons Inc"
1996-05-14,1996-06-18,Boston Communications Group,7372,United States,BCGI,ALEX-BROWN,0.98,7,53.6,14.0,Common Shares,Yes,100582105,Nasdaq,"Alex Brown & Sons Inc
Donaldson Lufkin & Jenrette
Columbia Group Inc",1.429,1.571,4.0,U.S. Public,13.0,11.0,3825000.0,45.9,3500000.0,325000.0,1996-12-15 00:00:00,,180,,No,No,Yes,,,1.0,1,3.0,,,ALEX-BROWN//DLJ/COLUMBIA-GROUP,ALEX-BROWN,"ALEX-BROWN
DLJ
COLUMBIA-GROUP","Alex Brown & Sons Inc
Donaldson Lufkin & Jenrette Inc
The Columbia Group Incorporated"
1992-04-03,1992-05-18,Boston Scientific Corp,3841,United States,BSX,GS,0.875,5.147,319.6,17.0,Common Shares,Yes,101137107,New York,"Goldman Sachs & Co
PaineWebber
Goldman Sachs & Co",1.029,1.176,2.94118,U.S. Public,22.0,19.0,18800000.0,385.4,18800000.0,,,,,,No,No,No,,,1.0,1,2.0,17.13,,GS//PAINE-W//GS(GC),GS,"GS
PAINE-W","Goldman Sachs & Co
PaineWebber Inc"
1998-11-13,1999-02-12,Bottomline Technologies Inc,7372,United States,EPAY,BOSTON-ROBERTS,0.91,7,44.2,13.0,Common Shares,Yes,101388106,Nasdaq,"BancBoston Robertson Stephens
BT Alex Brown Inc
CIBC Oppenheimer
Hambrecht & Quist
Adams Harkness & Hill Inc
William Blair & Co
Dain Rauscher Wessels
Moors & Cabot Inc
Van Kasper & Co",1.308,1.462,4.23077,U.S. Public,,,,40.0,2519466.0,880534.0,1999-08-11 00:00:00,65.783,180,6536561,No,No,Yes,,,1.0,1,3.0,20.47,,"BOSTON-ROBERTS//BT-ALEX-BROWN
/CIBC-OPPEN//HAMBRECHT/ADAMS-HARKNESS
/WM-BLAIR/DAIN-R-WESSELS/MOORS
/VAN-KASPER",BOSTON-ROBERTS,"BOSTON-ROBERTS
BT-ALEX-BROWN
CIBC-OPPEN","BancBoston Robertson Stephens Inc
BT Alex Brown Inc
CIBC Oppenheimer"
1996-09-27,1996-12-17,Bowlin Outdoor Advtg & Travel,7312,United States,BWLN,BROUS,0.56,7,8.8,8.0,Common Shares,Yes,102595105,Nasdaq,H. D. Brous,Comb.,Comb.,4.0,U.S. Public,9.5,8.5,1450000.0,13.1,1100000.0,,1997-06-15 00:00:00,,180,,No,No,No,,,1.0,1,1.0,8.13,,BROUS,BROUS,BROUS,"H. D. Brous & Co., Inc."
1994-03-24,1994-05-10,Boyd Bros Transportation Inc,4213,United States,BOYD,MORGAN-KEEGAN,0.77,7,11.0,11.0,Common Shares,Yes,103255105,Nasdaq,Morgan Keegan Inc,1.455,1.455,4.09091,U.S. Public,13.0,11.0,1000000.0,12.0,750000.0,250000.0,1994-11-06 00:00:00,,180,,No,No,No,,,1.0,1,1.0,10.88,,MORGAN-KEEGAN,MORGAN-KEEGAN,MORGAN-KEEGAN,Morgan Keegan Inc
1993-06-07,1993-10-15,Boyd Gaming Corp,7011,United States,BYD,SAL,1.1,6.471,68.0,17.0,Common Shares,Yes,103304101,New York,"Salomon Brothers
Donaldson Lufkin & Jenrette
Montgomery Securities",1.294,1.353,3.82353,U.S. Public,18.0,16.0,6800000.0,115.6,4000000.0,,1994-04-13 00:00:00,,180,52167158,No,No,No,,,1.0,1,3.0,22.13,,SAL//DLJ/MONTGOMERY,SAL,"SAL
DLJ
MONTGOMERY","Salomon Brothers Inc
Donaldson Lufkin & Jenrette Inc
Montgomery Securities"
1998-12-23,1999-03-05,Boyds Collection Ltd,3942,United States,FOB,DLJ,1.08,6,288.0,18.0,Common Shares,Yes,103354106,New York,"Donaldson Lufkin & Jenrette
Merrill Lynch
BancBoston Robertson Stephens
Bear Stearns & Co Inc
BT Alex Brown Inc
CIBC Oppenheimer
CS First Boston Corp
AG Edwards & Sons Inc
Goldman Sachs & Co
Lazard Houses
Lehman Brothers
NationsBanc Montgomery Sec
PaineWebber
Prudential Securities Inc
Salomon Smith Barney
Advest Inc
Robert W Baird & Co Inc
George K Baum & Co
Black & Co Inc
William Blair & Co
Blackford Securities
JC Bradford & Co
Chatsworth Securities LLC
Crowell Weedon & Co
Fahnestock & Co
First Union Capital Markets
Gerard Klauer Mattison & Co
Gruntal & Co Inc
Janney Montgomery Scott Inc
Johnston Lemon & Co Inc
CL King & Associates Inc
Laidlaw-Coggeshall
Legg Mason Wood Walker
McDonald Investments
Fifth Third/Ohio Co
Ormes Capital Markets Inc
Parker-Hunter Inc
Pennsylvania Merchant Group
Piper Jaffray Inc
Ragen MacKenzie Group Inc
Raymond James & Associates Inc
Redwine & Company Inc
Robinson-Humphrey Co
Roney Capital Markets
Ryan Beck & Co
Sanders Morris Mundy Inc
Sands Brothers & Co Ltd
The Shemano Group, Inc.
Stephens Inc
Sutro & Co Inc
Tucker Anthony Inc
Wit Capital Group Inc
BC Ziegler & Co",1.167,1.278,3.55556,U.S. Public,,,,250.0,9250000.0,6750000.0,1999-09-01 00:00:00,8.411,180,52052938,No,No,No,,,1.0,1,2.0,18.0,,"DLJ//MERRILL//BOSTON-ROBERTS/BEAR
/BT-ALEX-BROWN/CIBC-OPPEN/CS-FB
/A-G-EDWARDS/GS/LAZARD-HOUSES/LEH
/NATION-MONT-SEC/PAINE-W/PSI
/SALOMON-SMITH/ADVEST/BAIRD/G-BAUM
/BLACK/WM-BLAIR/BLACKFORD/BRADFORD
/CHATSWORTH/CROWELL/FAHNESTOCK
/FIRST-UNION-CAP/GERARD-KLAUER/GRUNTAL
/JANNEY/JOHNSTON-LEMON/CL-KING/LAIDLAW
/LEGG-MASON-WW/MCDONALD/FIFTH-OHIO
/ORMES/PARKER-HUNTER/PENN-MER-GROUP
/PIPER-J/RAGEN/RAYMOND/REDWINE-CO
/ROBINSON/RONEY-CAPITAL/RYAN-BECK
/SANDERS-MORRIS/SANDS/SHEMANO/STEPHENS
/SUTRO/TUCKER/WIT-CAPITAL/ZIEGLER",DLJ,"DLJ
MERRILL","Donaldson Lufkin & Jenrette Inc
Merrill Lynch & Co Inc"
1995-06-27,1995-09-15,Boyds Wheels Inc,3714,United States,BYDS,CRUTTENDEN-ROTH,0.563,9,7.8,6.25,Common Shares,Yes,103358107,Nasdaq,"Cruttenden Roth Inc
Black & Co Inc",2.12,2.08,4.8,U.S. Public,6.25,5.75,1000000.0,6.0,850000.0,400000.0,1996-03-13 00:00:00,,180,1232668,No,No,No,,,1.0,1,2.0,7.63,,CRUTTENDEN-ROTH//BLACK,CRUTTENDEN-ROTH,"CRUTTENDEN-ROTH
BLACK","Cruttenden Roth Inc
Black & Co Inc"
1992-05-06,1992-07-01,Bradlees Stores Inc,5331,United States,BLE,MERRILL,0.75,5.769,143.2,13.0,Common Shares,Yes,104499108,New York,"Merrill Lynch
First Boston Corp
Goldman Sachs & Co
Lehman Brothers",1.154,1.154,3.46154,U.S. Public,18.0,16.0,11018625.0,187.3,11018625.0,,1993-03-28 00:00:00,,270,202008,No,No,No,,,1.0,1,4.0,12.5,,MERRILL//FBC/GS/LEH,MERRILL,"MERRILL
FBC
GS
LEH","Merrill Lynch & Co Inc
First Boston Corp
Goldman Sachs & Co
Lehman Brothers"
1999-05-25,1999-08-10,Braun Consulting Inc,7379,United States,BRNC,DLJ,0.49,7,28.0,7.0,Common Shares,Yes,105651103,Nasdaq,"Donaldson Lufkin & Jenrette
Salomon Smith Barney
DLJdirect
Adams Harkness & Hill Inc
BancBoston Robertson Stephens
William Blair & Co
EVEREN Securities Inc
First Union Capital Markets
FAC/Equities
Sanders Morris Mundy Inc
Robinson-Humphrey Co
Raymond James & Associates Inc
Pennsylvania Merchant Group
Parker-Hunter Inc
Legg Mason Wood Walker
Hanifen Imhoff Inc
Gruntal & Co Inc
Williams Capital Group LP
Tucker Anthony Inc
Sutro & Co Inc
Sands Brothers & Co Ltd
Gabelli & Co Inc
Chatsworth Securities LLC
Schroder & Co Inc
ING Barings
Lehman Brothers
Prudential Securities Inc
Hambrecht & Quist",1.429,1.429,4.14286,U.S. Public,,,,57.5,4000000.0,,2000-02-06 00:00:00,76.048,180,12433390,No,No,No,,,1.0,1,4.0,7.06,,"DLJ//SALOMON-SMITH/DLJ-DIRECT
/ADAMS-HARKNESS//BOSTON-ROBERTS
/WM-BLAIR/EVEREN-SEC/FIRST-UNION-CAP
/FAC-EQUITIES/SANDERS-MORRIS/ROBINSON
/RAYMOND/PENN-MER-GROUP/PARKER-HUNTER
/LEGG-MASON-WW/HANIFEN-IMHOFF/GRUNTAL
/WILLIAMS-CAP/TUCKER/SUTRO/SANDS
/GABELLI/CHATSWORTH/SCHRODER-CO
/ING-BARINGS/LEH/PSI/HAMBRECHT",DLJ,"DLJ
SALOMON-SMITH
DLJ-DIRECT
ADAMS-HARKNESS","Donaldson Lufkin & Jenrette Inc
Salomon Smith Barney
DLJdirect
Adams Harkness & Hill Inc"
1992-02-13,1992-03-31,Braun's Fashions Corp,5621,United States,BFCI,PIPER,0.49,7,13.1,7.0,Common Shares,Yes,105658108,Nasdaq,"Piper Jaffray & Hopwood Inc
Wessels Arnold & Henderson LLC",1.286,1.429,4.28571,U.S. Public,9.0,7.0,1875000.0,15.0,1250000.0,625000.0,1992-09-27 00:00:00,,180,1813205,No,No,No,,,1.0,1,2.0,6.25,,PIPER//WESSELS,PIPER,"PIPER
WESSELS","Piper Jaffray & Hopwood Inc
Wessels Arnold & Henderson LLC"
1999-07-21,1999-10-05,Breakaway Solutions Inc,7372,United States,BWAY,MS,0.98,7,42.0,14.0,Common Shares,Yes,106372105,Nasdaq,"Morgan Stanley & Co
Lehman Brothers
Deutsche Bank Securities
First Albany
First Union Securities Inc
Edward D Jones & Co
Moors & Cabot Inc
Needham & Co LLC
SG Cowen Securities Corp
Soundview Technology (OLD)
CE Unterberg Towbin
Advest Inc
Dain Rauscher Wessels",1.429,1.357,4.21429,U.S. Public,,,,40.3,3000000.0,,2000-04-02 00:00:00,77.274,180,13380614,No,No,Yes,,,1.0,1,3.0,42.25,,"MS//LEH/DBSECU//FIRST-ALBANY
/FIRST-UNION-SEC/ED-JONES/MOORS/NEEDHAM
/SG-COWEN/SOUNDVIEW-TECH/UNTERBERG
/ADVEST/DAIN-R-WESSELS",MS,"MS
LEH
DBSECU","Morgan Stanley & Co
Lehman Brothers
Deutsche Bank Securities Inc"
1992-09-11,1992-11-12,Breed Technologies Inc,3714,United States,,GS,1.15,6.765,105.4,17.0,Common Shares,Yes,106702103,,"Goldman Sachs & Co
Lazard Freres & Co LLC
Furman Selz LLC
Goldman Sachs & Co",1.353,1.588,3.82353,U.S. Public,16.0,14.0,4400000.0,66.0,3462338.0,2737662.0,1993-05-11 00:00:00,,180,22600000,No,No,No,,Allen Breed Revocable Trust,1.0,1,3.0,20.0,,GS//LAZ/FURMAN-SELZ-INC//GS(GC),GS,"GS
LAZ
FURMAN-SELZ-INC","Goldman Sachs & Co
Lazard Freres & Co LLC
Furman Selz LLC"
1992-11-13,1992-11-13,Breed Technologies Inc,3714,United States,BDT,GS-I,1.149,6.76,29.3,17.0,Ord/Common Shs.,Yes,106702103,New York,"Goldman Sachs International
Lazard Brothers & Co Ltd
Furman Selz Inc
Societe Generale
Dresdner Bank AG
Nomura International PLC
Schweizerischer Bankverein
CBI-TDB Union Bancaire Privee",1.35,1.59,3.82,Euro Public,16.0,14.0,,,1725000.0,,,,,,No,No,No,,,1.0,1,3.0,,,"GS-I//LAZ-BRO/FURM//SOC-GEN/DRESDNER
/NOMURA-INT/SWISS-BANK/CBI-TDB",GS-I,"GS-I
LAZ-BRO
FURM","Goldman Sachs International
Lazard Brothers & Co Ltd
Furman Selz Inc"
2006-05-12,2006-10-04,BreitBurn Energy Partners LP,1311,United States,BBEP,"RBC-CAP-MKTS
/CITIGROUP(JB)",1.295,7,111.0,18.5,Ltd Prtnr Int,Yes,106776107,Nasdaq,"RBC Capital Markets
Citigroup
Credit Suisse
AG Edwards & Sons Inc
Wachovia Securities Inc
Deutsche Bank Securities Corp
Canaccord Adams",Comb.,Comb.,4.16216,U.S. Public,,,6000000.0,,6000000.0,,"04/02/07
04/02/07
04/02/07","

","180
180
180","

",No,No,No,,,2.0,2,7.0,18.21,,"RBC-CAP-MKTS(JB)/CITIGROUP(JB)
//CREDIT-SUISSE/A-G-EDWARDS
/WACHOVIA-SEC/DEUTSCHE-BK-SEC/CAN-ADAMS",RBC-CAP-MKTS/CITIGROUP,"RBC-CAP-MKTS
(JB)/CITIGROUP(JB)
CREDIT-SUISSE
A-G-EDWARDS
WACHOVIA-SEC
DEUTSCHE-BK-SEC
CAN-ADAMS","RBC Capital Markets
Citigroup
Credit Suisse
AG Edwards & Sons Inc
Wachovia Securities Inc
Deutsche Bank Securities Corp.
Canaccord Adams"
1993-09-16,1993-12-14,C Brewer Homes Inc,1521,United States,CBHI,DR,0.84,7,30.0,12.0,Class A Shares,Yes,107575102,Nasdaq,"Dillon, Read & Co Inc
PaineWebber",1.417,1.417,4.16667,U.S. Public,13.0,11.0,2500000.0,30.0,2500000.0,,1994-06-12 00:00:00,,180,5500000,No,No,No,,,1.0,1,2.0,12.0,,DR//PAINE-W,DR,"DR
PAINE-W","Dillon, Read & Co Inc
PaineWebber Inc"
1994-10-06,1994-11-29,Bridgeport Machines Inc,3559,United States,BPTM,OPPENHEIMER,0.7,7,25.0,10.0,Common Shares,Yes,108228107,Nasdaq,"Oppenheimer & Co Inc
Prudential Securities Inc",1.4,2,3.6,U.S. Public,13.0,11.0,3250000.0,39.0,1500000.0,1000000.0,1995-05-28 00:00:00,,180,3126692,No,No,No,,,1.0,1,2.0,10.0,,OPPENHEIMER//PSI,OPPENHEIMER,"OPPENHEIMER
PSI","Oppenheimer & Co Inc (DO NOT USE after 9/2/2003)
Prudential Securities Inc"
1997-05-07,1997-09-24,BridgeStreet Accommodations,7021,United States,BEDS,LEGG-MASON-WW,0.63,7,23.5,9.0,Common Shares,Yes,108452103,Nasdaq,"Legg Mason Wood Walker
McDonald Investments
BT Alex Brown Inc
Cowen
AG Edwards & Sons Inc
Montgomery Securities
Morgan Stanley & Co
PaineWebber
Advent International Corp
Robert W Baird & Co Inc
JC Bradford & Co
Equitable Securities, New York
First of Michigan Corp
Ladenburg Thalmann & Co
Morgan Keegan Inc
Ohio Co
S. C. Parker
Piper Jaffray Inc
Raymond James & Associates Inc
Robinson-Humphrey Co
Roney & Co
Tucker Anthony Inc
Wheat First Securities Inc",1.444,1.444,4.11111,U.S. Public,9.0,9.0,2615000.0,23.5,1700000.0,915000.0,1997-10-24 00:00:00,,30,392250,No,No,No,,,1.0,1,2.0,11.25,,"LEGG-MASON-WW//MCDONALD//BT-ALEX-BROWN
/COWEN/A-G-EDWARDS/MONTGOMERY/MS
/PAINE-W/ADVENT/BAIRD/BRADFORD
/EQUITABLE-SEC/FIRST-MICHIGAN/LADENBURG
/MORGAN-KEEGAN/OHIO/PARKER/PIPER-J
/RAYMOND/ROBINSON/RONEY-CO/TUCKER/WHEAT",LEGG-MASON-WW,"LEGG-MASON-WW
MCDONALD","Legg Mason Wood Walker Inc
McDonald Investments Inc"
1997-02-27,1997-05-08,Brigham Exploration Co,1311,United States,BEXP,BEAR,0.56,7,24.0,8.0,Common Shares,Yes,109178103,Nasdaq,"Bear Stearns & Co Inc
Howard Weil Labouisse Freid
Rauscher Pierce Refsnes Inc
Dillon, Read & Co Inc
Donaldson Lufkin & Jenrette
Lazard Houses
Oppenheimer & Co Inc
PaineWebber
Petrie Parkman & Co Inc
Wasserstein Perella Securities
Blaylock & Partners LP
Furman Selz Mager Dietz Birney
Gaines, Berland
Hanifen Imhoff & Samford
Hoak Securities Corp
Huberman, Margaretten & Straus
Jefferies & Co Inc
Johnson Rice & Co
Morgan Keegan Inc
Principal Financial Securities
Raymond James & Associates Inc
San Jacinto Securities Inc
Sanders Morris Mundy Inc
Southcoast Capital
Stephens Inc",1.375,1.375,4.25,U.S. Public,,,,54.6,3000000.0,,1997-11-04 00:00:00,,180,8907574,No,No,Yes,,,1.0,1,3.0,8.44,,"BEAR//HOWARD-WEIL/RAUSCHER-REF//DR/DLJ
/LAZARD-HOUSES/OPPENHEIMER/PAINE-W
/PETRIE-PARKMAN/WP-SEC/BLAYLOCK-PTRNS
/FURMAN-SELZ/GAINES-BERLAND/HANIFEN
/HOAK-SEC/HUBERMAN/JEFFERIES
/JOHNSON-RICE/MORGAN-KEEGAN
/PRINCIPAL-FIN/RAYMOND/SAN-JACINTO
/SANDERS-MORRIS/SOUTHCOAST/STEPHENS",BEAR,"BEAR
HOWARD-WEIL
RAUSCHER-REF","Bear Stearns & Co Inc
Howard Weil Labouisse Friedrichs Inc
Rauscher Pierce Refsnes Inc"
1996-10-29,1997-11-07,Bright Horizons Holdings Inc,8351,United States,BRHZ,BT-ALEX-BROWN,0.91,7,38.6,13.0,Common Shares,Yes,109190108,Nasdaq,"BT Alex Brown Inc
EVEREN Securities Inc
BancAmerica Robertson Stephens
CIBC Oppenheimer
CS First Boston Corp
Donaldson Lufkin & Jenrette
NationsBanc Montgomery Sec
Salomon Brothers
Smith Barney Inc
Adams Harkness & Hill Inc
Advest Inc
William Blair & Co
JC Bradford & Co
Furman Selz LLC
Gerard Klauer Mattison & Co
Tucker Anthony Inc",1.462,1.538,4.0,U.S. Public,,,,23.0,1350000.0,1620000.0,1998-05-06 00:00:00,,180,,No,No,Yes,,,1.0,1,2.0,17.0,,"BT-ALEX-BROWN//EVEREN-SEC
//BA-SEC-ROBERTS/CIBC-OPPEN/CS-FB/DLJ
/NATION-MONT-SEC/SAL/SBI/ADAMS-HARKNESS
/ADVEST/WM-BLAIR/BRADFORD
/FURMAN-SELZ-INC/GERARD-KLAUER/TUCKER",BT-ALEX-BROWN,"BT-ALEX-BROWN
EVEREN-SEC","BT Alex Brown Inc
EVEREN Securities Inc"
2012-10-24,2013-01-24,Bright Horizons Family,8351,United States,BFAM,"GS/JPM(JB)/BARCLAYS(JB)
/BOA-MERRILL(JB)/CS(JB)",1.485,6.75,222.2,22.0,Common Shares,Yes,109194100,New York,"Goldman Sachs & Co
JP Morgan
Barclays PLC
Bank of America Merrill Lynch
Credit Suisse
Robert W Baird & Co Inc
BMO Capital Markets
Stifel Nicolaus & Co Inc
SMBC Nikko Capital Markets",1.75,1.25,3.75,U.S. Public,,,,220.0,10100000.0,,"07/23/13
07/23/13","
","180
180","
",No,No,No,,,5.0,5,9.0,28.32,,"GS(JB)/JPM(JB)/BARCLAYS(JB)
/BOA-MERRILL(JB)/CS(JB)//BAIRD
/BMO-CAPITAL/STIFEL/SMBC-NIKKO-CAP",GS/JPM/BARCLAYS/BOA-MERRILL/CS,"GS
(JB)/JPM(JB)
/BARCLAYS(JB)
/BOA-MERRILL(JB)
/CS(JB)
BAIRD
BMO-CAPITAL
STIFEL
SMBC-NIKKO-CAP","Goldman Sachs & Co
JP Morgan & Co Inc
Barclays PLC
Bank of America Merrill Lynch
Credit Suisse
Robert W Baird & Co Inc
BMO Capital Markets
Stifel Nicolaus & Co Inc
SMBC Nikko Capital Markets"
1996-09-17,1996-11-22,Brilliant Digital Ent Inc,7372,United States,BDE,CS-FB,0.375,7.5,10.0,5.0,Common Shares,Yes,109502104,American,"CS First Boston Corp
Cruttenden Roth Inc",1.4,1.6,4.5,U.S. Public,13.5,11.5,2000000.0,25.0,2000000.0,,1997-05-21 00:00:00,,180,,No,No,No,,,1.0,1,2.0,4.88,,CS-FB//CRUTTENDEN-ROTH,CS-FB,"CS-FB
CRUTTENDEN-ROTH","CS First Boston Corp
Cruttenden Roth Inc"
1998-03-03,1998-04-30,Brio Technology Inc,7372,United States,BRIO,DEUTSCHE-MORGAN,0.77,7,17.2,11.0,Common Shares,Yes,109704106,Nasdaq,"Deutsche Morgan Grenfell
BancAmerica Robertson Stephens
First Albany
Piper Jaffray Inc
Deutsche Morgan Grenfell",1.455,1.455,4.09091,U.S. Public,,,,33.4,1497548.0,67452.0,,,,,No,No,Yes,,,1.0,1,4.0,13.31,,"DEUTSCHE-MORGAN//BA-SEC-ROBERTS
/FIRST-ALBANY/PIPER-J
//DEUTSCHE-MORGAN(GC)",DEUTSCHE-MORGAN,"DEUTSCHE-MORGAN
BA-SEC-ROBERTS
FIRST-ALBANY
PIPER-J","Deutsche Morgan Grenfell
BancAmerica Robertson Stephens Inc
First Albany Corporation
Piper Jaffray Inc"
1995-10-10,1995-12-13,Bristol Hotel Co,7011,United States,BH,MERRILL,1.435,7,87.1,20.5,Common Shares,Yes,110039104,New York,"Merrill Lynch
BT Securities Corp
Montgomery Securities
Smith Barney Inc
Schroder Wertheim & Co",1.415,1.341,4.2439,U.S. Public,20.0,20.0,3750000.0,75.0,4250000.0,,1996-06-10 00:00:00,,180,11555604,No,No,No,,,1.0,1,5.0,23.0,,"MERRILL//B-T-SEC/MONTGOMERY/SBI
/SCHRODER-WER",MERRILL,"MERRILL
B-T-SEC
MONTGOMERY
SBI
SCHRODER-WER","Merrill Lynch & Co Inc
BT Securities Corp
Montgomery Securities
Smith Barney Incorporated
Schroder Wertheim & Co"
1996-09-12,1996-11-12,Bristol Technology Systems,5044,United States,BTEC,FIRST-CAMBRIDGE,0.6,10,7.5,6.0,Common Shares,Yes,110202108,Sm Cap Mkt,"First Cambridge Securities Co
Duke & Co Inc",Comb.,Comb.,5.0,U.S. Public,6.0,6.0,1250000.0,7.5,1250000.0,,1997-11-07 00:00:00,,360,577417,No,No,No,,,1.0,1,2.0,10.75,,FIRST-CAMBRIDGE//DUKE,FIRST-CAMBRIDGE,"FIRST-CAMBRIDGE
DUKE","First Cambridge Securities Corp
Duke & Co Inc"
